Código;Ativo;Tipo;Natureza;Status;Preço;Stop;Gain;Quantidade;Qtd. Executada;Preço Médio;Criado em;Módulo;Estratégia;Criado por;Validade;Cancelada em;Cancelada por;Atualizado em;
493268641;GRND3F;A Mercado;Compra;Executada;0;;;1;1;8.12;05/01/2021 11:22:51;Swing Trade;;Cliente;;;;05/01/2021 11:22:51;
493235525;MDIA3F;A Mercado;Compra;Executada;0;;;4;4;33.03;05/01/2021 11:04:51;Swing Trade;;Cliente;;;;05/01/2021 11:04:52;
